;apir_codes;asset_class;aum_comp;aum_share;base_currency;bloomberg_codes;codes;compart_id;currency;default_fundshare_id;default_share_code;default_share_isin_code;default_share_name;eng_asset_class;factsheet;has_docs;isin_codes;main_codes;management_company;moodys_timed;morning_star;morning_star_timed;name;nav;nav_euro;region;showcases;srri_risk;sub_asset_class;timed_performances;apir;bloomberg;isin;url
10;[None];Produits de taux;{u'date': u'2017-03-09', u'value': 143096267.7};{u'date': u'2017-03-09', u'value': 129978775.68};Euro;[BNPGRAN FP];{u'isin': u'FR0010174425', u'bloomberg': u'BNPGRAN FP', u'apir': None};1686;Euro;4508;{u'type': u'isin', u'value': u'FR0010174425'};FR0010174425;BNP PARIBAS 1 AN PROTECTION 99 [CLASSIC, C];Fixed Income;{u'url': u'http://docfinder.is.bnpparibas-ip.com/api/files/f46db95e-7302-47cf-9d06-3d2e447743a8/512', u'extension': u'pdf'};[DOC_FP, DOC_IPTM, DOC_NOTICE-MISCELLANEOUS, DOC_REPA, DOC_REPS, DOC_SP, DOC_FACTSHEET, DOC_KIID];[FR0010174425];[FR0010174425];BNP PARIBAS ASSET MANAGEMENT;{u'date': None, u'value': None};;{u'date': None, u'value': None};BNP PARIBAS 1 AN PROTECTION 99;{u'date': u'2017-03-09', u'value': 24590.96};{u'date': u'2017-03-09', u'value': 24590.96};Europe;[];1;Obligations européennes;{u'performance_1y': {u'date': u'2017-02-28', u'value': -0.293170750686}, u'performance_ytd': {u'date': u'2017-03-09', u'value': -0.111339621591}, u'performance_5y': {u'date': u'2017-02-28', u'value': 1.09565804818}, u'performance_3y': {u'date': u'2017-02-28', u'value': 0.34767059883}};;BNPGRAN FP;FR0010174425;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/obligations-europeennes/bnp-paribas-1-an-protection-99-classic-c-fr0010174425
11;[None];Investissements alternatifs & Autres;{u'date': u'2017-02-05', u'value': 10440404.31};{u'date': u'2017-02-05', u'value': 10440404.31};Euro;[BNPDPEA FP];{u'isin': u'FR0011132380', u'bloomberg': u'BNPDPEA FP', u'apir': None};7035;Euro;7036;{u'type': u'isin', u'value': u'FR0011132380'};FR0011132380;BNP PARIBAS 4 DRAGONS PROTECTION 95 2017 [CLASSIC, C];Alternatives & Other;;[DOC_FP, DOC_IPTM, DOC_REPA, DOC_REPS, DOC_SP, DOC_KIID];[FR0011132380];[FR0011132380];BNP PARIBAS ASSET MANAGEMENT;{u'date': None, u'value': None};;{u'date': None, u'value': None};BNP PARIBAS 4 DRAGONS PROTECTION 95 2017;{u'date': u'2017-02-05', u'value': 1071.22};{u'date': u'2017-02-05', u'value': 1071.22};Monde;[];2;Produits structurés;{u'performance_1y': {u'date': u'2017-01-23', u'value': 8.1631612232}, u'performance_ytd': {u'date': u'2017-02-06', u'value': 3.03400392353}, u'performance_5y': {u'date': u'2017-01-23', u'value': 4.51714009738}, u'performance_3y': {u'date': u'2017-01-23', u'value': 4.12918810637}};;BNPDPEA FP;FR0011132380;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/produits-structures/bnp-paribas-4-dragons-protection-95-2017-classic-c-fr0011132380
12;[None, None];Diversifié;{u'date': u'2017-03-10', u'value': 711505990.11};{u'date': u'2017-03-10', u'value': 195249983.35};Euro;[BNPECMD LX, BNPEMAC LX];{u'isin': u'LU1078737910', u'bloomberg': u'BNPEMAC LX', u'apir': None};16534;Euro;16535;{u'type': u'isin', u'value': u'LU1078737910'};LU1078737910;BNP PARIBAS A FUND EUROPEAN MULTI-ASSET INCOME [CLASSIC, C];Balanced;{u'url': u'http://docfinder.is.bnpparibas-ip.com/api/files/ab2813dc-c605-45e7-8706-3b2d3e101b8a/512', u'extension': u'pdf'};[DOC_FLYER-BPF, DOC_FLYERP, DOC_FP, DOC_NOTICE-DIVIDEND, DOC_NOTICE-MEETING, DOC_NOTICE-PROSPECTUS, DOC_REPA, DOC_REPS, DOC_FACTSHEET, DOC_KIID];[LU1078738058, LU1078737910];[LU1078738058, LU1078737910];BNP PARIBAS INVESTMENT PARTNERS LUXEMBOURG;{u'date': None, u'value': None};;{u'date': None, u'value': None};BNP PARIBAS A FUND EUROPEAN MULTI-ASSET INCOME;{u'date': u'2017-03-10', u'value': 109.68};{u'date': u'2017-03-10', u'value': 109.68};Monde;[];4;Diversifié Monde;{u'performance_1y': {u'date': u'2017-02-28', u'value': 5.26668581825}, u'performance_ytd': {u'date': u'2017-03-09', u'value': 0.539601243827}};;BNPEMAC LX;LU1078737910;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/diversifie-monde/bnp-paribas-a-fund-european-multi-asset-income-classic-c-lu1078737910
13;[None];Actions;{u'date': u'2017-03-09', u'value': 40777269.46};{u'date': u'2017-03-09', u'value': 40777269.46};Euro;[None];{u'isin': u'FR0012558815', u'bloomberg': None, u'apir': None};18075;Euro;18081;{u'type': u'isin', u'value': u'FR0012558815'};FR0012558815;BNP PARIBAS ACTIONS EMERGENTES [CLASSIC, C];Equity;{u'url': u'http://docfinder.is.bnpparibas-ip.com/api/files/4cba93e6-2932-4766-b586-12a0baf12f2b/512', u'extension': u'pdf'};[DOC_FLYERP, DOC_FP, DOC_IPTM, DOC_REPA, DOC_REPS, DOC_SP, DOC_FACTSHEET, DOC_KIID];[FR0012558815];[FR0012558815];BNP PARIBAS ASSET MANAGEMENT;{u'date': None, u'value': None};;{u'date': None, u'value': None};BNP PARIBAS ACTIONS EMERGENTES;{u'date': u'2017-03-09', u'value': 99.02};{u'date': u'2017-03-09', u'value': 99.02};Monde;[];6;Actions internationales;{u'performance_1y': {u'date': u'2017-02-28', u'value': 18.8008616563}, u'performance_ytd': {u'date': u'2017-03-09', u'value': 6.6451265482}, u'performance_3y': {u'date': u'2017-02-28', u'value': 16.3804572648}};;;FR0012558815;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/actions-internationales/bnp-paribas-actions-emergentes-classic-c-fr0012558815
14;[None];Investissements alternatifs & Autres;{u'date': u'2017-03-09', u'value': 102047361.64};{u'date': u'2017-03-09', u'value': 102047361.64};Euro;[BNPCAPL FP];{u'isin': u'FR0010077206', u'bloomberg': u'BNPCAPL FP', u'apir': None};1680;Euro;4496;{u'type': u'isin', u'value': u'FR0010077206'};FR0010077206;BNP PARIBAS ACTIONS EURO PROTEGE [CLASSIC, C];Alternatives & Other;{u'url': u'http://docfinder.is.bnpparibas-ip.com/api/files/47ccb12e-2c5b-4561-9795-59d06aebb104/512', u'extension': u'pdf'};[DOC_FLYERP, DOC_FP, DOC_IPTM, DOC_NOTICE-MISCELLANEOUS, DOC_REPA, DOC_REPS, DOC_SP, DOC_FACTSHEET, DOC_IPTM, DOC_KIID];[FR0010077206];[FR0010077206];BNP PARIBAS ASSET MANAGEMENT;{u'date': None, u'value': None};;{u'date': None, u'value': None};BNP PARIBAS ACTIONS EURO PROTEGE;{u'date': u'2017-03-09', u'value': 193.29};{u'date': u'2017-03-09', u'value': 193.29};Monde;[];4;Produits structurés;{u'performance_1y': {u'date': u'2017-02-28', u'value': 0.515301293511}, u'performance_ytd': {u'date': u'2017-03-09', u'value': 0.9663602173}, u'performance_5y': {u'date': u'2017-02-28', u'value': -8.1888477979}, u'performance_3y': {u'date': u'2017-02-28', u'value': -7.01430100204}};;BNPCAPL FP;FR0010077206;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/produits-structures/bnp-paribas-actions-euro-protege-classic-c-fr0010077206
15;[None, None];Actions;{u'date': u'2017-03-09', u'value': 1184553790.42};{u'date': u'2017-03-09', u'value': 647304529.41};Euro;[BNPAPEU FP, BNPEAAC FP];{u'isin': u'FR0010115410', u'bloomberg': u'BNPEAAC FP', u'apir': None};1595;Euro;4195;{u'type': u'isin', u'value': u'FR0010115410'};FR0010115410;BNP PARIBAS ACTIONS EUROLAND [CLASSIC, C];Equity;{u'url': u'http://docfinder.is.bnpparibas-ip.com/api/files/b559fb25-d79c-4811-ae69-246d2b13f687/512', u'extension': u'pdf'};[DOC_CARBON_FOOT, DOC_FLYERP, DOC_FP, DOC_IPTM, DOC_REPA, DOC_REPS, DOC_SP, DOC_FACTSHEET, DOC_KIID];[FR0010116541, FR0010115410];[FR0010116541, FR0010115410];BNP PARIBAS ASSET MANAGEMENT;{u'date': None, u'value': None};3;{u'date': u'2017-03-08', u'value': u'3'};BNP PARIBAS ACTIONS EUROLAND;{u'date': u'2017-03-09', u'value': 11.4298};{u'date': u'2017-03-09', u'value': 11.4298};Europe;[];6;Actions européennes;{u'performance_1y': {u'date': u'2017-02-28', u'value': 14.0211505318}, u'performance_ytd': {u'date': u'2017-03-09', u'value': 3.41090040533}, u'performance_5y': {u'date': u'2017-02-28', u'value': 58.4647873351}, u'performance_3y': {u'date': u'2017-02-28', u'value': 14.7478396519}};;BNPEAAC FP;FR0010115410;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/actions-europeennes/bnp-paribas-actions-euroland-classic-c-fr0010115410
16;[None, None];Actions;{u'date': u'2017-03-09', u'value': 426091135.2};{u'date': u'2017-03-09', u'value': 379339510.21};Euro;[BNPETHC FP, BNPETHE FP];{u'isin': u'FR0010302398', u'bloomberg': u'BNPETHC FP', u'apir': None};1656;Euro;4442;{u'type': u'isin', u'value': u'FR0010302398'};FR0010302398;BNP PARIBAS ACTIONS EUROPE RESPONSABLE [CLASSIC, C];Equity;{u'url': u'http://docfinder.is.bnpparibas-ip.com/api/files/10b8da01-64ac-44a7-9eb3-4f12ca25b5f1/512', u'extension': u'pdf'};[DOC_CARBON_FOOT, DOC_FP, DOC_IPTM, DOC_NOTICE-MISCELLANEOUS, DOC_REPA, DOC_REPS, DOC_SP, DOC_TRANSPARENCY, DOC_XFR, DOC_FACTSHEET, DOC_KIID];[FR0010028969, FR0010302398];[FR0010028969, FR0010302398];BNP PARIBAS ASSET MANAGEMENT;{u'date': None, u'value': None};3;{u'date': u'2017-03-08', u'value': u'3'};BNP PARIBAS ACTIONS EUROPE RESPONSABLE;{u'date': u'2017-03-09', u'value': 265.31};{u'date': u'2017-03-09', u'value': 265.31};Europe;[];6;Actions européennes;{u'performance_1y': {u'date': u'2017-02-28', u'value': 9.27343455892}, u'performance_ytd': {u'date': u'2017-03-09', u'value': 1.52297860942}, u'performance_5y': {u'date': u'2017-02-28', u'value': 42.5360104758}, u'performance_3y': {u'date': u'2017-02-28', u'value': 9.64952780693}};;BNPETHC FP;FR0010302398;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/actions-europeennes/bnp-paribas-actions-europe-responsable-classic-c-fr0010302398
17;[None, None];Actions;{u'date': u'2017-03-09', u'value': 87736960.41};{u'date': u'2017-03-09', u'value': 78149031.96};Euro;[BNPAERD FP, BNPAERP FP];{u'isin': u'FR0010028910', u'bloomberg': u'BNPAERP FP', u'apir': None};1697;Euro;4546;{u'type': u'isin', u'value': u'FR0010028910'};FR0010028910;BNP PARIBAS ACTIONS EUROPE [CLASSIC, C];Equity;{u'url': u'http://docfinder.is.bnpparibas-ip.com/api/files/fe6cde72-d7c1-46d7-b98a-9280b4b65b72/512', u'extension': u'pdf'};[DOC_CARBON_FOOT, DOC_FP, DOC_IPTM, DOC_REPA, DOC_REPS, DOC_SP, DOC_FACTSHEET, DOC_KIID];[FR0010107235, FR0010028910];[FR0010107235, FR0010028910];BNP PARIBAS ASSET MANAGEMENT;{u'date': None, u'value': None};3;{u'date': u'2017-03-08', u'value': u'3'};BNP PARIBAS ACTIONS EUROPE;{u'date': u'2017-03-09', u'value': 184.31};{u'date': u'2017-03-09', u'value': 184.31};Europe;[];6;Actions européennes;{u'performance_1y': {u'date': u'2017-02-28', u'value': 12.2171667486}, u'performance_ytd': {u'date': u'2017-03-09', u'value': 3.60897183653}, u'performance_5y': {u'date': u'2017-02-28', u'value': 46.3475262609}, u'performance_3y': {u'date': u'2017-02-28', u'value': 11.0158150852}};;BNPAERP FP;FR0010028910;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/actions-europeennes/bnp-paribas-actions-europe-classic-c-fr0010028910
18;[None];Investissements alternatifs & Autres;{u'date': u'2017-03-09', u'value': 34848129.02};{u'date': u'2017-03-09', u'value': 34848129.02};Euro;[BNPACLU FP];{u'isin': u'FR0010077230', u'bloomberg': u'BNPACLU FP', u'apir': None};464;Euro;4677;{u'type': u'isin', u'value': u'FR0010077230'};FR0010077230;BNP PARIBAS ACTIONS MONDE PROTEGE [CLASSIC, C];Alternatives & Other;{u'url': u'http://docfinder.is.bnpparibas-ip.com/api/files/6011c62b-511c-4e3d-8811-f17fab633410/512', u'extension': u'pdf'};[DOC_FLYER-BPF, DOC_FP, DOC_IPTM, DOC_REPA, DOC_REPS, DOC_SP, DOC_FACTSHEET, DOC_KIID];[FR0010077230];[FR0010077230];BNP PARIBAS ASSET MANAGEMENT;{u'date': None, u'value': None};;{u'date': None, u'value': None};BNP PARIBAS ACTIONS MONDE PROTEGE;{u'date': u'2017-03-09', u'value': 1307.44};{u'date': u'2017-03-09', u'value': 1307.44};Monde;[];4;Produits structurés;{u'performance_1y': {u'date': u'2017-02-28', u'value': 4.37033190878}, u'performance_ytd': {u'date': u'2017-03-09', u'value': 1.07691475134}, u'performance_5y': {u'date': u'2017-02-28', u'value': 6.2425292123}, u'performance_3y': {u'date': u'2017-02-28', u'value': 2.4897632607}};;BNPACLU FP;FR0010077230;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/produits-structures/bnp-paribas-actions-monde-protege-classic-c-fr0010077230
19;[None];Actions;{u'date': u'2017-03-09', u'value': 130571119.2};{u'date': u'2017-03-09', u'value': 118059902.46};Euro;[BNPAMON FP];{u'isin': u'FR0010108977', u'bloomberg': u'BNPAMON FP', u'apir': None};1596;Euro;4197;{u'type': u'isin', u'value': u'FR0010108977'};FR0010108977;BNP PARIBAS ACTIONS MONDE [CLASSIC, C];Equity;{u'url': u'http://docfinder.is.bnpparibas-ip.com/api/files/3f01c448-cb99-4647-be0c-eaaf9aa275d5/512', u'extension': u'pdf'};[DOC_CARBON_FOOT, DOC_FLYERP, DOC_FP, DOC_IPTM, DOC_NOTICE-MISCELLANEOUS, DOC_REPA, DOC_REPS, DOC_SP, DOC_FACTSHEET, DOC_KIID];[FR0010108977];[FR0010108977];BNP PARIBAS ASSET MANAGEMENT;{u'date': None, u'value': None};3;{u'date': u'2017-03-08', u'value': u'3'};BNP PARIBAS ACTIONS MONDE;{u'date': u'2017-03-09', u'value': 19.49};{u'date': u'2017-03-09', u'value': 19.49};Monde;[];5;Actions internationales;{u'performance_1y': {u'date': u'2017-02-28', u'value': 17.1084337349}, u'performance_ytd': {u'date': u'2017-03-09', u'value': 4.39207284413}, u'performance_5y': {u'date': u'2017-02-28', u'value': 72.1877767936}, u'performance_3y': {u'date': u'2017-02-28', u'value': 47.6082004556}};;BNPAMON FP;FR0010108977;http://www.bnpparibas-ip.fr/investisseur-prive-particulier/fundsheet/actions-internationales/bnp-paribas-actions-monde-classic-c-fr0010108977
